design_id,profile,case_id,pv_kwp,ess_nominal_kwh,ess_pcs_kw,horizon_years,cost_multiplier,tariff,recovery_fraction,capex_krw,present_total_cost_krw,grid_only_present_cost_krw,npv_saving_vs_grid_krw,cumulative_user_solar_fraction,last_year_user_solar_fraction,minimum_annual_user_solar_fraction,cumulative_battery_user_kwh,discounted_user_load_kwh,net_present_cost_per_discounted_user_kwh,terminal_residual_proxy_krw,planning_pv_area_m2,minimum_solar_fraction_target,selection,feasible_in_grid
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,8,1.0,base_assumed,0.0,31000000.0,46047565.790462114,42463307.82943049,-3584257.961031623,0.6397508514662212,0.6357235418203239,0.6357235418203239,0.0,235907.26571905828,195.19350389699363,0.0,229.84000000000003,0.5,no_ess,True
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,8,1.0,base_assumed,0.0,59250000.0,65064880.83424335,42463307.82943049,-22601573.00481286,0.8541727749818255,0.8413170887884747,0.8413170887884747,40743.36924672393,235907.26571905828,275.8070237299476,0.0,344.76,0.8,any,True
daytime_M01_pv75_e0_p0,daytime,M01,75.0,0.0,0.0,8,1.0,base_assumed,0.0,108000000.0,84721029.78492795,42463307.82943049,-42257721.95549746,0.806238351783519,0.8051959450581997,0.8051959450581997,0.0,235907.26571905828,359.12853097887256,0.0,861.9,0.8,no_ess,True
daytime_M01_pv40_e100_p25,daytime,M01,40.0,100.0,25.0,8,1.0,base_assumed,0.0,107000000.0,108581206.46652237,42463307.82943049,-66117898.63709188,0.9648308349631372,0.9602772391632084,0.9602772391632084,62322.58468253958,235907.26571905828,460.2707175447136,0.0,459.68000000000006,0.95,any,True
,daytime,,,,,8,1.0,base_assumed,0.0,,,,,,,,,,,,,0.95,no_ess,False
daytime_M01_pv10_e0_p0,daytime,M01,10.0,0.0,0.0,9,1.0,base_assumed,0.0,17000000.0,46313802.67604522,46698388.40898142,384585.732936196,0.4093615667504723,0.4012805708931886,0.4012805708931886,0.0,259435.49116100787,178.51760554727835,0.0,114.92000000000002,0.0,any,True
daytime_M01_pv10_e0_p0,daytime,M01,10.0,0.0,0.0,9,1.0,base_assumed,0.0,17000000.0,46313802.67604522,46698388.40898142,384585.732936196,0.4093615667504723,0.4012805708931886,0.4012805708931886,0.0,259435.49116100787,178.51760554727835,0.0,114.92000000000002,0.0,no_ess,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,9,1.0,base_assumed,0.0,31000000.0,47398722.88829687,46698388.40898142,-700334.4793154448,0.6391724044921921,0.6345448286999598,0.6345448286999598,0.0,259435.49116100787,182.69945517547103,0.0,229.84000000000003,0.5,any,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,9,1.0,base_assumed,0.0,31000000.0,47398722.88829687,46698388.40898142,-700334.4793154448,0.6391724044921921,0.6345448286999598,0.6345448286999598,0.0,259435.49116100787,182.69945517547103,0.0,229.84000000000003,0.5,no_ess,True
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,9,1.0,base_assumed,0.0,59250000.0,65390927.04410932,46698388.40898142,-18692538.635127906,0.8522715366297595,0.8370616298132307,0.8370616298132307,45331.25214567222,259435.49116100787,252.0508152199082,0.0,344.76,0.8,any,True
